Input:  Workload: ua
  Class: D
  Sampling Site: 1
  LLC Size: 32 MiB
  Number of Sampling Points: 30
  Sampling Points:
    Sampling Point 1: UA Step = 10, CG Iter = 5, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 2: UA Step = 179, CG Iter = 3, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 3: UA Step = 246, CG Iter = 8, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 4: UA Step = 95, CG Iter = 2, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 5: UA Step = 117, CG Iter = 10, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 6: UA Step = 128, CG Iter = 10, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 7: UA Step = 5, CG Iter = 9, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 8: UA Step = 111, CG Iter = 10, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 9: UA Step = 96, CG Iter = 10, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 10: UA Step = 219, CG Iter = 9, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 11: UA Step = 227, CG Iter = 7, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 12: UA Step = 101, CG Iter = 3, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 13: UA Step = 15, CG Iter = 2, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 14: UA Step = 210, CG Iter = 2, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 15: UA Step = 97, CG Iter = 3, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 16: UA Step = 25, CG Iter = 3, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 17: UA Step = 132, CG Iter = 8, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 18: UA Step = 33, CG Iter = 7, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 19: UA Step = 153, CG Iter = 9, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 20: UA Step = 70, CG Iter = 10, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 21: UA Step = 47, CG Iter = 7, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 22: UA Step = 17, CG Iter = 1, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 23: UA Step = 149, CG Iter = 1, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 24: UA Step = 48, CG Iter = 1, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 25: UA Step = 215, CG Iter = 3, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 26: UA Step = 76, CG Iter = 5, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 27: UA Step = 228, CG Iter = 2, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 28: UA Step = 134, CG Iter = 10, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 29: UA Step = 27, CG Iter = 10, Starting Element = 10, Num Warmup Elements = 8631
    Sampling Point 30: UA Step = 168, CG Iter = 1, Starting Element = 10, Num Warmup Elements = 8631
